City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
156,Bago,99,MM,1655374760,71,17.3367,96.4797,303.08,3.26
157,Hukeri,96,IN,1655374761,49,16.2333,74.6,301.93,8.18
158,Bayāna,48,IN,1655374761,31,26.9,77.2833,311.64,10.63
159,Szigetújfalu,9,HU,1655374762,38,47.2342,18.9275,301.74,2.99
160,Krasnyye Baki,100,RU,1655374762,52,57.131,45.1599,293.6,4.32
161,Greenwood,0,US,1655374763,55,34.1668,-82.1165,298.35,0.0
162,Santa Flavia,10,IT,1655374763,44,38.085,13.5351,304.69,3.58
163,San Antonio,40,US,1655374763,86,29.4241,-98.4936,298.85,3.6
164,Mizhhirya,78,UA,1655374764,40,48.5246,23.5056,294.7,4.06
165,Dhidhdhoo,97,MV,1655374667,75,6.8833,73.1,301.52,7.26
166,Kars,40,TR,1655374765,49,40.602,43.095,293.4,2.06
167,Toyoshina,100,JP,1655374765,83,36.2999,137.9011,291.48,1.88
168,Cacimbinhas,100,BR,1655374765,93,-9.4003,-36.9903,292.98,1.52
169,Hino,0,JP,1655374526,78,35.6731,139.4003,297.14,0.0
170,Denton,0,US,1655374766,71,33.2001,-97.1336,301.3,3.6
171,Hijo,100,PH,1655374766,92,7.3823,125.8506,298.11,0.41
172,Indang,63,PH,1655374516,77,14.2,120.8833,302.46,1.57
173,Waimalu,75,US,1655374767,85,21.4047,-157.9433,296.38,4.47
174,Grebenskaya,62,RU,1655374767,34,43.5317,46.3733,303.58,3.53
175,San Giuseppe Vesuviano,0,IT,1655374768,64,40.8298,14.5044,303.65,3.6
176,Baelen,24,BE,1655374768,48,50.6313,5.9743,294.85,3.13
177,Krasnaya Zarya,2,RU,1655374768,60,52.7825,37.6806,292.26,5.07
178,Mykolayivka,60,UA,1655374768,37,47.5414,30.7561,295.94,2.2
179,Kilchberg,20,CH,1655374769,55,47.3244,8.5455,303.16,4.12
180,Tashigang,100,BT,1655374769,98,27.3331,91.5542,294.31,0.97
181,Khakhea,0,BW,1655374769,27,-24.6895,23.494,287.01,2.23
182,Mullovka,100,RU,1655374770,74,54.2,49.4,297.05,3.21
183,Alhaurín el Grande,0,ES,1655374770,47,36.643,-4.6873,299.74,4.12
184,Jarocin,70,PL,1655374770,44,51.9727,17.5026,297.89,1.94
185,Quattro Castella,11,IT,1655374771,54,44.635,10.4743,302.74,1.11
186,Goúmero,13,GR,1655374771,40,37.7667,21.6167,300.84,3.13
187,Mafra,0,BR,1655374772,98,-26.1114,-49.8053,281.31,0.42
188,Staňkov,87,CZ,1655374772,56,49.5535,13.0698,299.23,2.59
189,Gobabis,0,NA,1655374772,18,-22.45,18.9667,291.92,4.34
190,Shcherbynivka,32,UA,1655374772,43,48.3949,37.791,294.8,4.2
191,Pombal,56,BR,1655374773,88,-6.7703,-37.8017,295.36,2.22
